# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
nv de 	女的	c=1 d=1.88401e-040 t=57682
nv peng you 	女朋友	c=3 d=5.39635e-040 t=57682
nv ren 	女人	c=0 d=0.2 t=50189
nv ren he ku wei nan nv ren 	女人何苦爲難女人	c=1 d=1 t=50190
nv shen 	女神	c=2 d=8.26276e-070 t=57682
nv sheng 	女生	c=1 d=1 t=49721
nv wang 	女王	c=1 d=6.39367e-033 t=57682
nv zhu 	女主	c=1 d=8.51047e-074 t=57682
nv zhu jiao 	女主角	c=1 d=1 t=46063
nve 	虐	c=1 d=1 t=45929
o 	哦	c=60 d=0.195788 t=57682
o 	喔	c=3 d=1.87648 t=48087
o 	噢	c=70 d=0.258803 t=57682
o o 	哦哦	c=1 d=4.98262e-070 t=57682
o o 	噢噢	c=2 d=8.39117e-055 t=57682
o o o 	哦哦哦	c=1 d=1.10022e-006 t=57682
o shi 	噢是	c=1 d=8.98459e-006 t=57682
ou 	偶	c=1 d=1 t=47275
ou er 	偶爾	c=2 d=1.98511 t=56751
ou pi 	藕披	c=1 d=1.84325e-018 t=57682
pa 	怕	c=12 d=1.67449e-006 t=57682
pa bu pa 	怕不怕	c=1 d=1 t=52891
pa ni 	怕你	c=2 d=4.60689e-030 t=57682
pa shi 	怕是	c=2 d=7.44003e-068 t=57682
pai 	排	c=2 d=1.73049e-040 t=57682
pai 	牌	c=1 d=4.06336e-053 t=57682
pai ban 	拍板	c=1 d=1.19259e-072 t=57682
pai bu shang 	排不上	c=1 d=1.30202e-046 t=57682
pai cha 	排查	c=5 d=0.535261 t=57682
pai hang 	排行	c=0 d=1.68455e-048 t=57682
pai hang ban 	排行辦	c=1 d=1.693e-047 t=57682
pai hang bang 	排行榜	c=2 d=3.50817e-047 t=57682
pai hao 	排好	c=1 d=2.34149e-068 t=57682
pai hao 	牌號	c=1 d=2.32981e-068 t=57682
pai qi 	排期	c=3 d=9.89312e-051 t=57682
pai qi 	排氣	c=1 d=2.23846e-068 t=57682
pai she 	拍攝	c=1 d=1 t=35127
pai wei 	排位	c=2 d=1.45247e-009 t=57682
pai xi 	拍戲	c=1 d=6.82538e-037 t=57682
pai xu 	排序	c=3 d=2.42744e-025 t=57682
pai you xian ji 	排優先級	c=1 d=8.53568e-050 t=57682
pai zai 	排在	c=1 d=1.01944e-050 t=57682
pan 	判	c=3 d=8.59164e-012 t=57682
pan ding 	判定	c=1 d=1 t=46566
pan duan 	判斷	c=43 d=0.010078 t=57682
pan kong 	判空	c=15 d=1.90461 t=52545
pao 	拋	c=1 d=1 t=56101
pao 	跑	c=14 d=2.25894 t=57682
pao bu 	跑步	c=2 d=0.0335406 t=57682
pao chu 	拋出	c=1 d=3.93644e-062 t=57682
pao chu 	跑出	c=4 d=1.33121 t=57607
pao chu lai 	跑出來	c=2 d=1.75201 t=57032
pao dao 	拋到	c=1 d=1 t=57295
pao de 	跑得	c=1 d=1 t=56985
pao dei zao 	跑得早	c=1 d=9.40933e-020 t=57682
pao ge 	跑個	c=1 d=1 t=56418
pao guo 	跑過	c=1 d=1 t=41605
pao le 	跑了	c=1 d=1.60988e-043 t=57682
pao yi xia 	跑一下	c=4 d=2.78179e-007 t=57682
pei 	賠	c=2 d=0.000212834 t=57682
pei 	配	c=4 d=4.32005e-009 t=57682
pei 	陪	c=1 d=4.27169e-053 t=57682
pei ban 	陪伴	c=1 d=5.87685e-012 t=57682
pei e 	配額	c=1 d=1 t=56558
pei fu 	佩服	c=1 d=1.4392e-048 t=57682
pei hao 	配好	c=4 d=1 t=57682
pei hao le 	配好了	c=2 d=1.65749e-025 t=57682
pei he 	配合	c=7 d=4.38832e-017 t=57682
pei ju 	陪距	c=1 d=1 t=45894
pei le 	配了	c=0 d=2.77122e-022 t=57682
pei le ma 	配了嗎	c=1 d=2.78511e-021 t=57682
pei liao 	配料	c=1 d=1 t=53656
pei qian 	賠錢	c=1 d=5.41746e-025 t=57682
pei shang 	配上	c=1 d=1 t=47996
pei tao 	配套	c=1 d=1.6934e-032 t=57682
pei xia 	配下	c=1 d=1 t=55983
pei yi xia 	配一下	c=2 d=1.42323e-005 t=57682
pei zhi 	配置	c=178 d=1.96974 t=57682
pei zi 	胚子	c=0 d=0.1 t=53306
pei zi hao 	胚子好	c=1 d=1 t=53307
peng 	碰	c=2 d=8.76844e-044 t=57682
peng wo 	捧我	c=1 d=0.021068 t=57682
peng yi xia 	碰一下	c=1 d=1 t=38315
pi 	批	c=7 d=7.49538e-021 t=57682
pi 	皮	c=2 d=1.96537e-008 t=57682
pi ei zhi 	批誒只	c=1 d=1 t=48521
pi fu 	皮膚	c=6 d=2.62792e-014 t=57682
pi ge qu 	批歌曲	c=1 d=1 t=36840
pi jiu 	啤酒	c=2 d=1.99501 t=44432
pi liang 	批量	c=8 d=1.5302e-015 t=57682
pi pei 	匹配	c=6 d=8.97055e-017 t=57682
pi zhun 	批准	c=1 d=0.172907 t=57682
pian 	篇	c=3 d=4.32152e-013 t=57682
pian chi pian he 	騙吃騙喝	c=1 d=1 t=44584
pian duan 	片段	c=2 d=2.13334e-061 t=57682
pian hao 	偏好	c=5 d=3.18351 t=55599
pian yi 	便宜	c=2 d=1.15238e-069 t=57682
piao 	票	c=2 d=1.26422e-023 t=57682
piao liang 	漂亮	c=0 d=0.1 t=43776
pie 	撇	c=1 d=0.174645 t=57682
pin 	品	c=1 d=6.09947e-067 t=57682
pin 	拼	c=3 d=7.36198e-045 t=57682
pin bi 	拼比	c=1 d=7.07234e-014 t=57682
pin cheng 	拼成	c=1 d=2.9665e-028 t=57682
pin cuo 	拼錯	c=2 d=1.19946e-022 t=57682
pin dao 	頻道	c=1 d=1 t=56547
pin fan 	頻繁	c=23 d=8.25245e-006 t=57682
pin gu 	聘僱	c=1 d=3.47164e-025 t=57682
pin jie 	拼接	c=2 d=2.48617e-068 t=57682
pin lv 	頻率	c=4 d=0.00331267 t=57682
pin pai 	品牌	c=4 d=0.00304381 t=57682
pin xie 	拼寫	c=2 d=0.744532 t=57682
pin yin 	拼音	c=1 d=2.47917e-005 t=57682
pin zhi 	品質	c=10 d=1.74427e-010 t=57682
ping 	坪	c=0 d=2.1345e-039 t=57682
ping 	平	c=1 d=1 t=45934
ping 	評	c=12 d=3.05115e-025 t=57682
ping bi 	屏蔽	c=7 d=1.28692e-013 t=57682
ping ce 	評測	c=1 d=3.9292e-011 t=57682
ping de 	評的	c=2 d=9.12473e-041 t=57682
ping gong zuo liang 	評工作量	c=1 d=5.7941e-051 t=57682
ping gu 	評估	c=46 d=8.28761e-011 t=57682
ping gu xia 	評估下	c=1 d=6.81588e-050 t=57682
ping gu yi xia 	評估一下	c=1 d=3.76655e-043 t=57682
ping guo 	蘋果	c=5 d=4.76612e-018 t=57682
ping jia 	評價	c=1 d=1 t=46310
ping jie 	憑藉	c=1 d=2.79651e-069 t=57682
ping jun 	平均	c=2 d=1.93239 t=42913
ping jun zhi 	平均值	c=1 d=1.10097e-014 t=57682
ping le 	評了	c=6 d=3.1925e-025 t=57682
ping lun 	評論	c=6 d=1.79219e-011 t=57682
ping mu 	屏幕	c=0 d=3.87004e-010 t=57682
ping mu shang 	屏幕上	c=1 d=3.88944e-009 t=57682
ping shan xin qu 	坪山新區	c=1 d=2.1452e-038 t=57682
ping shen 	平身	c=1 d=4.52952e-066 t=57682
ping shen 	評審	c=11 d=2.43132e-011 t=57682
ping sheng 	平生	c=1 d=2.4192e-011 t=57682
ping shi 	平時	c=6 d=0.0333733 t=57682
ping tai 	平臺	c=22 d=0.87182 t=57682
ping wan 	評完	c=4 d=4.29967e-045 t=57682
ping xia 	評下	c=1 d=4.62511e-047 t=57682
ping xie 	乒協	c=1 d=1 t=35002
ping zhi 	平直	c=1 d=8.27777e-042 t=57682
po jie 	破解	c=8 d=2.84282e-027 t=57682
pu 	噗	c=1 d=2.80718e-055 t=57682
pu 	鋪	c=1 d=9.53955e-064 t=57682
pu chi 	噗哧	c=1 d=5.73468e-018 t=57682
pu ji 	普及	c=1 d=3.74892e-076 t=57682
pu jie 	仆街	c=1 d=3.12338e-046 t=57682
pu tong 	普通	c=7 d=4.68782e-029 t=57682
qi 	⑦	c=2 d=1.99501 t=36087
qi 	七	c=1 d=6.49009e-062 t=57682
qi 	企	c=1 d=1.24384e-067 t=57682
qi 	器	c=5 d=0.960789 t=57682
qi 	氣	c=1 d=3.65399e-039 t=57682
qi 	祺	c=1 d=9.21614e-070 t=57682
qi 	起	c=2 d=8.57144e-011 t=57682
qi 	齊	c=3 d=0.000393669 t=57682
qi dai 	期待	c=0 d=0.1 t=39163
qi dong 	啓動	c=88 d=0.536738 t=57682
qi dong hou 	啓動後	c=1 d=1.9082e-043 t=57682
qi e 	企鵝	c=1 d=1.53909e-014 t=57682
qi fa 	啓發	c=1 d=1 t=36195
qi fu 	欺負	c=1 d=1 t=51608
qi guai 	奇怪	c=4 d=0.0195457 t=57682
qi guai le 	奇怪了	c=1 d=2.30035e-036 t=57682
qi huan 	奇幻	c=1 d=1 t=50503
qi jian 	期間	c=5 d=4.72769e-011 t=57682
qi lai 	起來	c=9 d=5.20964e-006 t=57682
qi ma 	起碼	c=2 d=1.09529e-012 t=57682
qi pa 	奇葩	c=2 d=7.50304e-033 t=57682
qi pao 	旗袍	c=2 d=8.87949e-044 t=57682
qi pao 	氣泡	c=2 d=8.924e-044 t=57682
qi quan 	齊全	c=1 d=6.86054e-068 t=57682
qi shi 	其實	c=71 d=0.121916 t=57682
qi ta 	其他	c=33 d=0.0845849 t=57682
qi wang 	期望	c=1 d=3.95751e-066 t=57682
qi xian 	期限	c=0 d=8.39974e-068 t=57682
qi yin 	起因	c=1 d=1.48273e-075 t=57682
qi yong 	棄用	c=2 d=1.74431e-016 t=57682
qi zhong 	其中	c=4 d=2.85659e-025 t=57682
qia ang 	卡昂	c=0 d=1.29086e-034 t=57682
qian 	前	c=24 d=0.00105737 t=57682
qian 	千	c=1 d=2.21814e-049 t=57682
qian 	欠	c=1 d=1 t=43911
qian 	錢	c=17 d=4.72769e-011 t=57682
qian ban ju 	前半句	c=1 d=9.16111e-029 t=57682
qian bao 	錢包	c=3 d=3.98208e-037 t=57682
qian bei 	前輩	c=1 d=2.38879e-068 t=57682
qian che 	牽扯	c=1 d=4.5397e-063 t=57682
qian dao wei 	錢到位	c=1 d=1.05228e-070 t=57682
qian duan shi jian 	前段時間	c=1 d=2.36719e-020 t=57682
qian hou 	前後	c=1 d=2.03323e-026 t=57682
qian hou tai 	前後台	c=8 d=0.00602802 t=57682
qian kun da nuo yi 	乾坤大挪移	c=1 d=3.11903e-059 t=57682
qian mian 	前面	c=8 d=1.2375e-007 t=57682
qian she 	牽涉	c=1 d=1 t=49439
qian tai 	前臺	c=2 d=6.86076e-039 t=57682
qian tao 	嵌套	c=2 d=1 t=56124
qian ti 	前提	c=12 d=9.3287e-007 t=57682
qian wan 	千萬	c=2 d=1.66377e-048 t=57682
qian wang 	前往	c=1 d=1 t=35678
qian yan 	千言	c=1 d=1 t=38597
qian yi 	遷移	c=7 d=0.000433948 t=57682
qian yi dao 	遷移到	c=1 d=1 t=56595
qian zhe 	前者	c=3 d=1.98512 t=53878
qian zhui 	前綴	c=5 d=1.0785e-007 t=57682
qiang 	強	c=0 d=0.1 t=53904
qiang 	搶	c=2 d=1.49564e-030 t=57682
qiang lie 	強烈	c=1 d=1.53825e-037 t=57682
qiang qiu 	強求	c=0 d=0.1 t=50170
qiang ruo 	強弱	c=1 d=7.67728e-009 t=57682
qiang shi 	強勢	c=1 d=8.64378e-051 t=57682
qiang xing 	強行	c=3 d=2.45276e-026 t=57682
qiang yi lai 	強依賴	c=1 d=1 t=53905
qiang zhe 	強者	c=0 d=2.99204e-071 t=57682
qiang zhe zhi lu 	強者之路	c=1 d=3.00704e-070 t=57682
qiang zhi 	強制	c=2 d=1.99005 t=57416
qiao 	瞧	c=1 d=1 t=56715
qiao bu qi 	瞧不起	c=0 d=0.1 t=41119
qiao bu qi wo 	瞧不起我	c=1 d=1 t=41120
qiao he 	巧合	c=1 d=1 t=50076
qiao le 	敲了	c=1 d=2.61428e-041 t=57682
qiao men 	敲門	c=1 d=1 t=41629
qiao yi qiao 	瞧一瞧	c=1 d=4.48154e-029 t=57682
qie 	且	c=6 d=0.616348 t=57682
qie 	切	c=4 d=4.41482e-029 t=57682
qie dao 	切到	c=6 d=1.05306e-020 t=57682
qie ge 	切割	c=2 d=2.50273e-028 t=57682
qie ge 	切歌	c=1 d=1 t=43983
qie huan 	切換	c=33 d=0.0061792 t=57682
qie huan dao 	切換到	c=3 d=8.44068e-036 t=57682
qie pian 	切片	c=1 d=1 t=56554
qie ru dian 	切入點	c=1 d=3.79716e-050 t=57682
qin ai de 	親愛的	c=1 d=1.39528e-007 t=57682
qin dian 	欽點	c=1 d=5.30911e-052 t=57682
qin fan 	侵犯	c=1 d=3.87849e-064 t=57682
qin song 	親送	c=2 d=7.58643e-016 t=57682
qin zi 	親自	c=2 d=4.33123e-010 t=57682
qing 	情	c=1 d=1 t=57165
qing 	清	c=2 d=0.0152531 t=57682
qing 	請	c=18 d=0.00131619 t=57682
qing 	輕	c=3 d=5.15393e-013 t=57682
qing chu 	清楚	c=12 d=0.2334 t=57682
qing chu 	清除	c=26 d=0.623237 t=57682
qing diao 	情調	c=1 d=1.29306e-053 t=57682
qing jia 	請假	c=2 d=3.38892e-006 t=57682
qing jiao 	請教	c=5 d=2.48509e-033 t=57682
qing jiao ni 	請教你	c=1 d=3.51789e-063 t=57682
qing kong 	清空	c=6 d=6.24367e-040 t=57682
qing kuang 	情況	c=56 d=0.425283 t=57682
qing kuang xia 	情況下	c=8 d=8.17173e-008 t=57682
qing li 	清理	c=36 d=0.779641 t=57682
qing liang ji 	輕量級	c=1 d=4.04804e-038 t=57682
qing ming 	清明	c=1 d=1 t=57669
qing ni 	請你	c=4 d=1.5452e-038 t=57682
qing qiu 	請求	c=47 d=0.475197 t=57682
qing shang 	情商	c=1 d=1 t=46067
qing shao hou 	請稍候	c=1 d=1.62407e-058 t=57682
qing song 	輕鬆	c=6 d=7.62698e-016 t=57682
qing tang 	清湯	c=1 d=1 t=35120
qing wan 	請完	c=1 d=1 t=38027
qing wang 	請往	c=1 d=7.05242e-069 t=57682
qing wen 	請問	c=112 d=0.133105 t=57682
qing wo 	請我	c=1 d=3.46316e-055 t=57682
qing wo men 	清我們	c=1 d=0.0267827 t=57682
qing xi 	清晰	c=5 d=2.08655e-006 t=57682
qing xu 	情緒	c=1 d=1 t=44179
qiong 	窮	c=2 d=1.50186e-020 t=57682
qiong ren 	窮人	c=1 d=6.38021e-067 t=57682
qiong wu 	窮武	c=1 d=4.26574e-066 t=57682
qiu 	求	c=69 d=0.217884 t=57682
qiu 	球	c=1 d=4.10127e-074 t=57682
qiu bang mang 	求幫忙	c=1 d=3.94957e-013 t=57682
qiu ni 	求你	c=1 d=0.494109 t=57682
qiu ri bao 	求日報	c=3 d=7.45756e-046 t=57682
qiu wen 	求問	c=1 d=1 t=43574
qiu yi ge 	求一個	c=1 d=2.54177e-063 t=57682
qiu you 	球友	c=1 d=1 t=41550
qu 	區	c=9 d=0.00296761 t=57682
qu 	去	c=97 d=0.767883 t=57682
qu 	取	c=24 d=1.32814e-015 t=57682
qu 	曲	c=0 d=1.00338e-070 t=57682
qu bie 	區別	c=5 d=1.01684e-020 t=57682
qu chong 	去重	c=4 d=1 t=53395
qu chu 	去除	c=21 d=0.00511208 t=57682
qu chu 	取出	c=3 d=1.26677 t=52699
qu dao 	去到	c=3 d=2.11513e-019 t=57682
qu dao 	渠道	c=3 d=0.0475963 t=57682
qu dao hao 	渠道號	c=1 d=9.15176e-017 t=57682
qu dao he 	渠道和	c=1 d=2.08783e-072 t=57682
qu diao 	去掉	c=34 d=0.0655462 t=57682
qu diao le 	去掉了	c=2 d=9.01464e-067 t=57682
qu e fen 	去堊粉	c=2 d=1.10743e-024 t=57682
qu er 	趣兒	c=0 d=0.1 t=38221
qu er ne 	趣兒呢	c=1 d=1 t=38222
qu fen 	區分	c=37 d=9.20098e-008 t=57682
qu guo 	去過	c=0 d=0.1 t=52965
qu ku 	曲庫	c=1 d=5.22012e-059 t=57682
qu le 	去了	c=2 d=5.99251e-006 t=57682
qu nian 	去年	c=2 d=4.21038e-030 t=57682
qu qiu 	曲球	c=1 d=3.48834e-052 t=57682
qu shi 	趨勢	c=0 d=0.0213312 t=57682
qu wan 	去玩	c=1 d=6.57921e-046 t=57682
qu xiao 	取消	c=6 d=2.96014e-014 t=57682
qu yu 	區域	c=4 d=0.00113061 t=57682
qu zhao 	去找	c=2 d=4.85909e-010 t=57682
qu zhi 	取值	c=1 d=1 t=49310
qu zuo 	去左	c=1 d=1.92181e-009 t=57682
quan 	全	c=22 d=0.373439 t=57682
quan 	券	c=0 d=4.29077e-077 t=57682
quan 	勸	c=2 d=1.62744e-053 t=57682
quan bu 	全部	c=9 d=4.26515e-009 t=57682
quan cheng 	全程	c=1 d=1 t=45837
quan dou 	全都	c=1 d=1 t=57394
quan guo 	全國	c=1 d=7.56378e-069 t=57682
quan jiao 	全校	c=1 d=2.46841e-042 t=57682
quan jiao 	全角	c=3 d=5.80403e-040 t=57682
quan ju 	全局	c=2 d=2.9289e-025 t=57682
quan ju yong 	全局用	c=1 d=2.69427e-072 t=57682
quan li 	全力	c=1 d=1.24257e-055 t=57682
quan liang 	全量	c=11 d=1.94729e-007 t=57682
quan liang qian 	全量前	c=1 d=2.21972e-028 t=57682
quan min 	全民	c=1 d=1.79258e-050 t=57682
quan min tu ji 	全民突擊	c=1 d=1.62296e-050 t=57682
quan pan 	全盤	c=19 d=2.65114e-017 t=57682
quan ping 	全屏	c=1 d=1 t=40740
quan tang shi 	全唐詩	c=1 d=2.8131e-021 t=57682
quan xia 	泉下	c=1 d=1 t=53160
quan xian 	權限	c=48 d=0.0948914 t=57682
quan xin 	全新	c=5 d=2.40092e-010 t=57682
que 	卻	c=8 d=0.431711 t=57682
que 	確	c=0 d=0.1 t=45927
que 	缺	c=3 d=3.34995e-017 t=57682
que bie 	卻別	c=1 d=1 t=46476
que dian 	缺點	c=5 d=1.55869e-018 t=57682
que ding 	確定	c=28 d=2.01501e-008 t=57682
que ding hao 	卻鼎好	c=1 d=6.65778e-068 t=57682
que ding xia 	確定下	c=3 d=8.20378e-054 t=57682
que ren 	確認	c=152 d=0.405742 t=57682
que ren xia 	確認下	c=4 d=3.40648e-008 t=57682
que shi 	確實	c=20 d=0.000311223 t=57682
que shi shi 	確實是	c=2 d=2.34116e-037 t=57682
que xian 	缺陷	c=1 d=1 t=56564
qun 	羣	c=24 d=1.20172 t=57682
qun li 	羣裏	c=12 d=0.0337087 t=57682
qun zi 	裙子	c=1 d=1 t=56709
ran er 	然而	c=1 d=1 t=49213
ran hou 	然後	c=93 d=1.95582 t=57682
rang 	讓	c=23 d=0.00370076 t=57682
rang ta 	讓他	c=2 d=8.49193e-019 t=57682
rang ta men 	讓他們	c=1 d=3.43278e-069 t=57682
rang wo 	讓我	c=5 d=0.00726273 t=57682
re ai 	熱愛	c=0 d=0.1 t=54728
re ai di ou 	熱愛低謳	c=1 d=1 t=54729
re dei kuai 	熱得快	c=1 d=1 t=36416
ren 	人	c=56 d=0.00052611 t=57682
ren di 	人地	c=1 d=1 t=46054
ren en 	人嗯	c=1 d=4.83485e-010 t=57682
ren he 	任何	c=7 d=6.14312e-005 t=57682
ren lei 	人類	c=1 d=1 t=53337
ren li 	人力	c=7 d=3.7363e-007 t=57682
ren min bi 	人民幣	c=1 d=5.37069e-070 t=57682
ren ne 	人呢	c=1 d=1 t=55913
ren qi 	人妻	c=1 d=1 t=56702
ren qing 	人情	c=1 d=9.10553e-075 t=57682
ren qiong 	人窮	c=1 d=1 t=51723
ren ru guo 	人如果	c=1 d=1 t=45096
ren shi 	人士	c=1 d=2.13923e-064 t=57682
ren shi 	認識	c=1 d=1 t=44909
ren shou 	人手	c=1 d=6.89258e-064 t=57682
ren shu 	人數	c=1 d=2.01061e-011 t=57682
ren wei 	人爲	c=5 d=0.522046 t=57682
ren wei 	認爲	c=8 d=1.31976e-009 t=57682
ren wu 	任務	c=3 d=1.27758e-029 t=57682
ren yi ge 	任一個	c=1 d=1 t=37850
ren yuan 	人員	c=2 d=0.000761668 t=57682
ren yue 	人月	c=2 d=1.36129e-062 t=57682
ren zhe 	忍者	c=1 d=3.01338e-036 t=57682
ren zhen 	認真	c=1 d=7.91513e-016 t=57682
ren zhen de 	認真的	c=1 d=2.92572e-071 t=57682
ren zhu 	忍住	c=0 d=5.62112e-019 t=57682
ren zi 	人仔	c=1 d=5.87647e-070 t=57682
reng 	仍	c=2 d=1.99501 t=40996
reng 	扔	c=2 d=1.61273e-005 t=57682
reng diao 	扔掉	c=1 d=3.6652e-075 t=57682
reng gong 	仍供	c=1 d=1 t=43612
reng zai 	仍在	c=5 d=1.64937 t=52194
ri 	日	c=11 d=0.0405589 t=57682
ri bao 	日報	c=21 d=6.34772e-007 t=57682
ri li lv 	日利率	c=1 d=1.77484e-073 t=57682
ri qi 	日期	c=7 d=1.87404e-007 t=57682
ri yuan 	日元	c=3 d=1.70765e-069 t=57682
ri zhi 	日誌	c=131 d=0.108808 t=57682
ri zi 	日子	c=0 d=0.1 t=38118
ri zi hao 	日子好	c=1 d=1 t=38119
rong yi 	容易	c=5 d=0.00351752 t=57682
rong yu 	冗餘	c=1 d=6.37587e-059 t=57682
rou 	肉	c=1 d=1 t=51799
rou da 	肉大	c=2 d=5.27096e-026 t=57682
ru 	入	c=4 d=0.00663763 t=57682
ru 	如	c=8 d=2.9408e-013 t=57682
ru ge 	如歌	c=1 d=1.2653e-033 t=57682
ru gu 	入股	c=1 d=1 t=50632
ru guo 	如果	c=230 d=0.527215 t=57682
ru guo shi 	如果是	c=1 d=4.64513e-039 t=57682
ru he 	如何	c=13 d=1.88831e-008 t=57682
ru kou 	入口	c=9 d=0.00425356 t=57682
ru ku 	入庫	c=8 d=5.59962e-017 t=57682
ru men 	入門	c=2 d=1.26074e-020 t=57682
ru mo 	入魔	c=1 d=1 t=42102
ru shi 	入市	c=1 d=1 t=56477
ru shi 	如是	c=1 d=1 t=56478
ru shi zhong fu 	如釋重負	c=1 d=5.3998e-016 t=57682
ru wo 	如我	c=1 d=1 t=36811
ru xia 	如下	c=16 d=3.33211e-013 t=57682
ru xia suo shi 	如下所示	c=1 d=1.69334e-020 t=57682
ru xia tu 	如下圖	c=1 d=1 t=43041
ru zhi 	入職	c=1 d=4.55392e-041 t=57682
ruan jian 	軟件	c=17 d=8.87922e-027 t=57682
ruan jian gong cheng 	軟件工程	c=1 d=1.73073e-071 t=57682
ruo 	弱	c=2 d=1.47238 t=37557
ruo yin yong 	弱引用	c=1 d=1 t=35769
sa ga 	薩嘎	c=1 d=1 t=38190
sai weng shi ma 	塞翁失馬	c=1 d=1 t=50902
san 	③	c=18 d=0.0115624 t=57682
san 	三	c=5 d=0.951229 t=57682
san ge 	三個	c=4 d=3.51023e-008 t=57682
san ge 	三哥	c=1 d=1 t=36214
san ji 	三級	c=1 d=1 t=35415
san luo 	散落	c=1 d=1 t=55890
san san 	散散	c=1 d=1 t=47617
san xiao 	三小	c=0 d=1.08248e-051 t=57682
san xiao zhi 	三小只	c=1 d=1.08791e-050 t=57682
san xing 	三星	c=2 d=6.77265e-034 t=57682
san zhang 	三張	c=1 d=0.93527 t=36894
san zhang tu 	三張圖	c=1 d=1 t=36895
sao 	掃	c=1 d=9.97895e-035 t=57682
sao 	騷	c=2 d=2.6556e-049 t=57682
sao deng 	騷等	c=1 d=0.000471307 t=57682
sao mi o 	騷密哦	c=1 d=6.37499e-028 t=57682
sao miao 	掃描	c=268 d=1.888e-006 t=57682
sao miao chu 	掃描出	c=1 d=1 t=37250
se 	色	c=2 d=2.31794e-008 t=57682
sha 	啥	c=22 d=0.024874 t=57682
sha 	殺	c=4 d=4.73816e-037 t=57682
sha bi 	傻逼	c=2 d=7.81589e-043 t=57682
sha bi wei 	傻逼喂	c=6 d=0.889761 t=57682
sha le 	殺了	c=1 d=5.67762e-018 t=57682
sha shi hou 	啥時候	c=1 d=6.42681e-035 t=57682
sha tian 	沙田	c=5 d=4.81956 t=35175
sha yi si 	啥意思	c=4 d=3.27236e-006 t=57682
shai 	曬	c=3 d=7.50407e-064 t=57682
shai xuan 	篩選	c=3 d=2.07735e-048 t=57682
shan 	刪	c=7 d=0.00327971 t=57682
shan 	山	c=1 d=2.1345e-039 t=57682
shan 	閃	c=1 d=9.39272e-058 t=57682
shan chu 	刪除	c=41 d=0.0843848 t=57682
shan chu wu yong 	刪除無用	c=1 d=1.80854e-059 t=57682
shan diao 	刪掉	c=9 d=5.09226e-006 t=57682
shan liang 	善良	c=1 d=7.48773e-009 t=57682
shan ping 	閃屏	c=3 d=1.70096e-014 t=57682
shan shu 	杉樹	c=1 d=0.790571 t=57682
shan tui 	閃退	c=9 d=0.000282035 t=57682
shan zuo 	刪左	c=1 d=3.03107e-046 t=57682
shang 	上	c=140 d=0.713403 t=57682
shang 	傷	c=1 d=2.87824e-055 t=57682
shang ba 	傷疤	c=0 d=9.89817e-058 t=57682
shang ba bo 	傷疤博	c=1 d=9.94779e-057 t=57682
shang ban 	上班	c=6 d=3.84276e-014 t=57682
shang ban nian 	上半年	c=1 d=1 t=35747
shang bao 	上報	c=127 d=1.46572 t=57682
shang ceng 	上層	c=1 d=1 t=51461
shang che 	上車	c=1 d=7.01725e-069 t=57682
shang chuan 	上傳	c=2 d=8.2865e-025 t=57682
shang ci 	上次	c=14 d=0.0224829 t=57682
shang cuo 	上錯	c=1 d=1 t=45408
shang feng bai su 	傷風敗俗	c=1 d=3.08694e-055 t=57682
shang ji 	上級	c=1 d=0.000108909 t=57682
shang jia 	商家	c=1 d=1 t=56294
shang jiao 	上角	c=2 d=2.49245e-009 t=57682
shang lai 	上來	c=3 d=0.0131675 t=57682
shang liang 	商量	c=2 d=7.45039e-009 t=57682
shang mian 	上面	c=25 d=6.82793e-012 t=57682
shang ping 	上屏	c=1 d=3.92506e-028 t=57682
shang qu 	上去	c=2 d=0.980199 t=57682
shang shang 	上上	c=1 d=1 t=38469
shang shi 	上市	c=1 d=9.87934e-064 t=57682
shang shu 	上述	c=3 d=6.52136e-018 t=57682
shang shui 	上水	c=3 d=3.01363 t=35050
shang shui guang chang 	上水廣場	c=1 d=1 t=35044
shang tu 	上圖	c=1 d=1 t=45795
shang wen 	上文	c=2 d=1.02193 t=43367
shang wu 	上午	c=3 d=0.000652304 t=57682
shang wu 	商務	c=11 d=1 t=44886
shang xia 	上下	c=1 d=5.26004e-031 t=57682
shang xian 	上線	c=13 d=0.000984476 t=57682
shang ye 	商業	c=1 d=7.6468e-021 t=57682
shang yi ci 	上一次	c=3 d=0.123687 t=57682
shang yi ge 	上一個	c=1 d=2.78067e-061 t=57682
shang yi shou 	上一首	c=3 d=0.0422141 t=57682
shang zhe 	上着	c=1 d=1.82386e-070 t=57682
shang zhou 	上週	c=5 d=8.69802e-007 t=57682
shao 	少	c=9 d=0.585669 t=57682
shao dao 	燒到	c=1 d=2.13457e-009 t=57682
shao den 	少㩐	c=3 d=0.00148994 t=57682
shao deng 	稍等	c=21 d=0.0323007 t=57682
shao deng ha 	稍等哈	c=1 d=4.78741e-041 t=57682
shao deng ne ge 	稍等呢個	c=2 d=8.68119e-043 t=57682
shao dian 	少點	c=1 d=1 t=52941
shao hen duo 	少很多	c=1 d=1 t=37956
shao hou 	稍後	c=10 d=0.0173355 t=57682
shao le 	少了	c=2 d=3.6743e-016 t=57682
